Iteration,Time,Passes
0,0.000998695,1000
1,0.000998045,1000
2,0.00106863,1000
3,0.000991031,1000
4,0.000989499,1000
5,0.000988629,1000
6,0.000993592,1000
7,0.000988759,1000
8,0.000988549,1000
9,0.00098888,1000
