Iteration,Time,Passes
0,0.0020253,965
1,0.00213247,965
2,0.00153612,965
3,0.00149937,965
4,0.0014996,965
5,0.00149931,965
6,0.00149788,965
7,0.00116893,965
8,0.000866134,965
9,0.000866906,965
